Customer Statement,Sentiment_actual
"Sounds good, thank you.",Positive
"I'm available any time next week, Monday through Friday. Either morning or afternoon is fine.",Positive
"Well, when I try to register, it says my email address is already in use. But I'm sure I've never created an account before. And when I try to log in, it says my password is incorrect.",Neutral
"Hi, I'm calling about a claim I submitted that was denied. My name is Emily Wilson and my member ID is MEM123456. Can you help me with that?",Negative
"But I had switched to a new policy a month ago, and as per the new policy, this service should be covered.",Neutral
"Hi, I'm calling about a claim that was denied. The reason given was that my policy doesn't cover the service, but I'm certain it should be covered. My member ID is MEM123456.",Neutral
"That sounds great, thank you! I think I'd prefer Dr. Smith on Wednesday. What time is the appointment?",Positive
My primary care physician is Dr. Johnson and I've been experiencing symptoms for about 6 months now.,Positive
"That sounds great, thank you so much for your help. I really appreciate it.",Positive
"(pauses) Yeah, I'm still holding.",Positive
"No, that's all. Thank you again.",Negative
Thank you.,Positive
"My date of birth is March 12, 1985, and my primary care physician is Dr. Smith.",Positive
It's 02/12/1990.,Negative
"I'm not sure, I just know I need to see someone about my knee pain.",Neutral
Thank you. You too.,Positive
"Yes, of course. The date of service was January 10th, and the reason for the denial was that my policy doesn't cover the service. However, I had switched to a new policy in December, and according to the new policy, the service should be covered.",Neutral
"Hello, I'm calling about a denied claim I received for a recent medical service. I believe it was incorrectly denied as my new policy should cover it. My member ID is MEM123456.",Negative
It's MEM123456.,Neutral
"It's August 12, 1985.",Negative
"Okay, I've received the email and reset my password. I'm able to log in now. Thank you for your help!",Neutral
"Great, thank you for confirming. I appreciate it.",Positive
"Okay, thank you. But can I ask, what's causing the issue with my registration?",Neutral
"Sounds great, thank you so much for your help.",Positive
"Okay, I've tried logging in and it says that my account is locked due to too many failed login attempts.",Neutral
"Hi, I'm calling about a denied claim I received. My name is Emily Wilson, and my member ID is MEM456789.",Negative
"Oh, that's great! Thank you so much for looking into this. Can you tell me how much I'll be refunded?",Positive
"Alright, thank you for explaining and for your help.",Positive
"It's Dr. Smith's office, and the facility is Mercy Hospital.",Positive
"No, that's all. Thank you so much for your help!",Positive
"Okay, I'll hold.",Neutral
"That makes sense. I did receive a confirmation email about the policy change, but I guess it didn't get updated in the system.",Neutral
"Hi, I'm calling about my recent visit to the doctor's office. I was charged a $50 copay, but I'm pretty sure my policy says it should be $20.",Neutral
It was a routine check-up with my primary care physician on February 10th.,Neutral
"My date of birth is March 12, 1985, and my primary care physician is Dr. Smith.",Positive
"Okay, thank you.",Neutral
"Hi, I'm calling to schedule an appointment with a specialist. My name is Emily Wilson and my member ID is MEM123456.",Neutral
"(pause) Okay, I've reset my password and tried logging in again, but I'm still getting the same error message.",Neutral
"It's not loading correctly. When I try to log in, it just takes me back to the login page without giving me any errors.",Negative
"Yes, that would be great. My phone number is 555-123-4567.",Neutral
"Hi, I'm calling about my recent medical bill. I was charged a $50 copay for my doctor's visit, but I'm certain my policy says I shouldn't have to pay anything.",Negative
"No, that's all. Thank you.",Negative
Bye.,Positive
"No, everything is still the same. (01:15)",Negative
"My doctor says I need to have the surgery to alleviate the pain and discomfort I've been experiencing in my knee. I've tried physical therapy and other treatments, but nothing seems to be working.",Negative
It's MEM543219.,Neutral
"Hi, I'm calling to schedule an appointment with a specialist. My name is Emily Wilson and my member ID is MEM123456.",Neutral
"No, I think that's all.",Negative
How long will this take?,Positive
"It just says ""Invalid username or password"" every time I try to log in. I've tried resetting my password multiple times, but it doesn't seem to be working.",Negative
"Hi, I'm calling about my recent doctor's visit. I was charged a $50 copay, but I thought my policy didn't have a copay for that service. My name is Emily Wilson and my member ID is MEM123456.",Negative
"Hmm, I think I'm leaning towards Dr. Smith. But before I schedule, can you tell me if there are any additional fees for seeing a specialist?",Neutral
"Okay, what kind of information do you need?",Neutral
"No, that's all. Thank you again!",Negative
It's MEM456789.,Positive
"No, that's all for now. Thank you.",Positive
"That's great, thank you. How long will it take to receive the reimbursement?",Positive
"Okay... (pause) Yeah, I'm still getting the same error message.",Neutral
"It just says ""invalid credentials"" when I try to log in. I've tried resetting my password, but it still doesn't work.",Negative
"Hi, I'm calling to request a pre-authorization for a medical procedure. My name is Emily Wilson and my member ID is MEM123456.",Negative
"Thanks, bye.",Positive
"Hi, I'm having trouble registering and logging in to my online service account. Can you help me?",Negative
It's claim number #CLM789012.,Negative
"Okay, I'll try again.",Neutral
"My address is 123 Main St, Anytown, USA 12345.",Positive
"Hi, I'm calling to get a case pre-authorized. My name is Emily Wilson and my member ID is MEM123456.",Negative
"Hi, I'm calling to schedule an appointment with a specialist. My name is Emily Wilson, and my member ID is MEM123456.",Neutral
"Oh, I see. So, what can be done to fix this?",Neutral
"It's #2023-01-001. I received a denial letter stating that the service is not covered under my policy, but I had actually switched to a new policy that covers this service.",Negative
But that's not what my policy says. I'm pretty sure it's supposed to be $20 or no copay.,Neutral
"Hi, I'm calling about my recent doctor's visit. I was charged a copay of $50, but I thought my policy only required a $20 copay for that service.",Negative
"It was on February 10th, and I had a routine check-up.",Negative
How about next Wednesday afternoon?,Negative
It was a routine check-up with my primary care physician on January 10th.,Negative
"Okay, I'll try that. (pause) Okay, I've tried resetting it again, but it still says my username and password are incorrect.",Neutral
Thanks again. Bye!,Positive
"No, that's all. Thank you again for your help.",Negative
"That's what I thought. So, why was I charged $50?",Negative
"Hmm, I think I'd like to see Dr. Smith.",Neutral
I'm available anytime after 2 PM.,Negative
"Hi, I'm calling about my recent doctor's visit. I was charged a copay of $50, but I thought my policy didn't have a copay for that service.",Negative
"Hi, I'm calling about my recent bill for the doctor's visit. I was charged a copay of $50, but I'm pretty sure my policy says it's supposed to be $20.",Negative
"I've been experiencing some back pain and I'd like to see an orthopedic specialist. I've heard great things about Dr. Smith, but I'm open to seeing whoever is available.",Neutral
That's frustrating. Can you tell me how much the deductible is and how much the procedure will cost?,Negative
"Okay, that sounds good. Thank you for fixing this mistake.",Neutral
"Okay, I think I'd like to see Dr. Smith. Can you schedule the appointment for me for Wednesday at 2 PM?",Neutral
"Hi, I'm calling to get a case pre-authorized for a surgery I need to have done. My name is Emily Wilson and my member ID is MEM456789.",Negative
"Okay, that sounds good. Is there anything else I need to do in the meantime?",Neutral
I need to get a knee replacement surgery. My doctor has recommended it due to severe arthritis.,Neutral
"Okay, thank you for your help. Can you provide me with a reference number for this issue?",Neutral
"Yes, I switched policies about two months ago. I specifically chose the new policy because it covers the service that was denied.",Negative
"Hi, I'm calling to get a case pre-authorized. My name is Emily Wilson and my member ID is MEM123456.",Negative
"My date of birth is March 12, 1985, and I'm looking to get a knee replacement surgery.",Positive
That's ridiculous. I don't see why I should have to pay more than what my policy allows. Can I speak to a supervisor?,Negative
"Yes, that would be great, thank you!",Positive
"No, I think that's all. Thanks again for your help.",Negative
You too!,Positive
"No, that's all. Thank you again for your help.",Negative
That sounds wonderful. Thank you for your help in resolving this issue. I really appreciate it!,Positive
"Let me check... (pause) Ah, yes, I did receive an activation email.",Negative
"Hi, I'm calling to get a case pre-authorized. My name is Emily Wilson and my member ID is MEM123456.",Negative
That sounds good. Can you tell me a bit more about Dr. Smith's qualifications?,Positive
"No, that's all. Thank you.",Negative
"My email address is jsmith@example.com and my password is... (pauses, hesitant to share password) ...well, I'd rather not share it over the phone.",Negative
Sure.,Positive
Yeah.,Negative
"No, that's all. Thank you again for your help.",Negative
That sounds great. Can you tell me a bit more about both doctors?,Positive
"Hi, I'm calling to get a case pre-authorized for a medical procedure. My name is Emily Wilson and my member ID is MEM123456.",Negative
"My date of birth is 02/12/1985, and the phone number is 555-1234.",Positive
"The CPT code is 27447 and the estimated cost is around $15,000.",Negative
"No, that's all. Thank you again for your help.",Negative
"Yes. I went to see my primary care physician last week, and when I got the bill, I saw that I was charged $50 as a copay. But I've checked my policy, and it says that I shouldn't have to pay anything for primary care visits.",Negative
"Okay, let me try that. (pause) I've cleared the cache and cookies, but I'm still getting the same error message.",Neutral
It's MEM123456.,Neutral
It's MEM123456.,Neutral
"My doctor's name is Dr. Smith, and the surgery will be performed at Oakwood Hospital.",Positive
"Hi, I'm calling about my recent bill for a doctor's visit. I was charged a copay of $50, but my policy says I shouldn't have to pay anything for this type of service.",Negative
"Okay, I'll try that. (pause) Okay, I've cleared the cache and cookies. Let me try again. (pause) Nope, still getting the same error message.",Neutral
Sounds good. Thank you again for all your help.,Positive
"Sure, thank you.",Positive
"Thank you, bye.",Positive
"(angrily) No, that's all.",Negative
I was thinking maybe next Wednesday or Thursday?,Negative
It's jsmith@email.com.,Positive
It was a routine physical exam on January 10th. My policy says I shouldn't have to pay anything for preventive care.,Negative
It's johndoe@email.com.,Positive
"My policy number is the same, MEM123456, and the surgery was on January 10th.",Negative
Thank you.,Positive
It's claim number CLM789012.,Negative
"Hi, I'm calling about issues I'm having with registering and logging in to my online service account. My member ID is MEM123456.",Negative
"Okay, I appreciate that. Can you give me a reference number for this case so I can follow up?",Neutral
"It just says ""invalid credentials"" or ""account not found."" I'm pretty sure I'm entering the right information, but I've tried a few different variations just in case.",Negative
"Hi, I'm calling to schedule an appointment with a specialist. My name is Emily Wilson, and my member ID is MEM234567.",Neutral
"Oh, great! Thank you so much for your help. I really appreciate it. (02:10)",Positive
"You too, thank you. Bye.",Positive
"Yes. I went to see my primary care physician last week, and when I got the bill, I saw that I was charged $50 as a copay. But I've checked my policy, and it says that I shouldn't have to pay anything for primary care visits.",Negative
"You too, thanks.",Positive
"Hi, I'm calling about a denied claim I received. I'm very frustrated because I'm certain it should be covered. My name is Emily Wilson, and my member ID is MEM123456.",Negative
"I'm not getting an error message, but when I try to enter my username and password, it just doesn't recognize them. I've tried resetting my password, but that didn't work either.",Negative
How do I check that?,Negative
"Yeah, my caps lock is off, and I'm pretty sure I'm entering the correct credentials.",Neutral
"No, that's all. Thank you again.",Negative
"That would be great, thank you.",Neutral
"Okay, that sounds good. How long will it take to get a final decision?",Neutral
"Okay... (pause) Yeah, that worked! I'm in. Thank you so much!",Neutral
"Okay, that's fine. Can you please tell me more about the out-of-pocket costs?",Neutral
(angrily) What do you mean? I've already given you all the information you need. This is ridiculous.,Negative
"That sounds great, thank you so much for your help! I appreciate it.",Positive
"Okay, that's fine. Thank you.",Neutral
"Hi, I'm having trouble registering and logging in to my online service account. My member ID is MEM456789.",Negative
"Okay, sounds good. Thank you!",Neutral
"Hi, I'm calling about a denied claim I received. My name is Emily Wilson, and my member ID is MEM123456.",Negative
"Okay, sure.",Neutral
"You too, bye.",Positive
"Okay, no problem.",Neutral
"Alright, thank you for your help. I appreciate it.",Positive
"My date of birth is March 12, 1985, and I'm looking to see a cardiologist.",Positive
"Hi, I'm calling to get a case pre-authorized. My name is Emily Wilson and my member ID is MEM456789.",Negative
"Hi, I'm having some trouble registering and logging in to my online service account. My member ID is MEM123456.",Negative
"Sounds good, thank you.",Positive
I'm using Google Chrome.,Positive
"No, that's all. Thank you again.",Negative
"You too, thank you.",Positive
"Alright, thank you for your help.",Positive
"Hi, I need to schedule an appointment with a specialist. My name is Emily Wilson and my member ID is MEM123456.",Neutral
"Oh, I didn't realize that. How do I complete the registration process?",Negative
"Okay, that makes sense. So, what's the next step? Will I get a refund for the overpayment?",Neutral
"That sounds great, thank you so much for your help! I appreciate it.",Positive
"Okay... (pause) Yeah, I'm in now. But I'm having trouble registering for the service. It's not accepting my registration information.",Neutral
It's jsmith@email.com.,Positive
"No, that's all. Thank you again.",Negative
"Thank you, you too. Bye.",Positive
Thank you for the follow-up. I appreciate it.,Positive
"Hi, I'm having trouble logging in to my online service account. My member ID is MEM123456.",Negative
That sounds wonderful. Thank you for your help in resolving this issue. I really appreciate it!,Positive
"Hi, I'm having trouble registering and logging in to my online service account. My member ID is MEM456789.",Negative
"My date of birth is March 12, 1985, and my primary care physician is Dr. Smith.",Positive
That's what I thought might have happened. Can you please update my policy and reprocess the claim?,Negative
"Okay, that sounds good. What's the next step?",Neutral
"My date of birth is 02/12/1985, and the phone number is 555-1234.",Positive
"Okay, I think I'd like to schedule an appointment with Dr. Johnson on Thursday at 10 AM.",Neutral
"My date of birth is March 12, 1985, and I'm scheduled for a knee replacement surgery on April 15th.",Neutral
"Oh, that's great! Thank you so much for looking into this. Can you tell me how much I'll be refunded?",Positive
"It says ""Invalid username or password."" But I'm positive I'm entering the correct information.",Neutral
"No, that's all for now. Thank you again.",Positive
Thanks again. Bye!,Positive
Okay... Yes! I'm in! Thank you so much for your help!,Neutral
"My date of birth is March 12, 1985, and the denied service was for a physical therapy session on January 10th.",Negative
"Yes, that's correct.",Neutral
"Okay, great. Thank you for your help.",Positive
"Sure, it's CLM789012.",Neutral
(firmly) See that you do.,Positive
You too. Bye.,Positive
My member ID is MEM123456.,Positive
Thank you. Bye.,Positive
Sounds good. Thanks for your help!,Positive
Thank you. You too.,Positive
"(pause) Okay, I've clicked on the link and followed the instructions. It says my account is now activated.",Neutral
"No, that's all. Thank you again.",Negative
"My new policy effective date is January 1st, and the service date was January 15th. I'm certain that the new policy covers this service.",Neutral
"No, that's all. Thanks.",Negative
You too. Bye.,Positive
"You too, thank you. Bye.",Positive
It's CLM789012.,Neutral
"No, I think that's all.",Negative
It was on February 10th and the provider was Dr. Smith.,Negative
"I've already tried that, but it didn't work. I'm still having the same issue.",Negative
"Great, just great. Thanks for nothing.",Positive
Alright... Thank you for your help. I appreciate it.,Positive
"Hi, I'm calling to get a case pre-authorized for a medical procedure. My name is Emily Wilson, and my member ID is MEM123456.",Negative
"Hi, I'm calling to get a case pre-authorized for a medical procedure. My name is Emily Wilson and my member ID is MEM123456.",Negative
Okay... And what about the status of my claim? Will it be approved?,Neutral
"Okay... (pause) Yeah, I'm still getting the error message that my password is incorrect.",Neutral
The visit was on January 10th and the doctor's name is Dr. Smith.,Negative
"My address is 123 Main Street, Anytown, USA 12345, and my phone number is 555-555-5555.",Positive
"Okay, that sounds good. How long will it take to get this resolved?",Neutral
"Well, I've tried to register a few times, but it keeps telling me that my email address is already in use. I'm not sure what to do.",Positive
"Okay, I can do that. But can you also check if there's any errors on your end? Maybe something got misprocessed.",Neutral
That makes sense. Can you please update my policy information and reprocess the claim?,Neutral
"Yes, I've tried resetting my password twice, and I've even tried clearing my browser cache.",Negative
"Great, thank you. What's the next step? Should I just wait to hear back from you?",Positive
The doctor's name is Dr. Smith and the facility is Mercy Hospital.,Positive
"Hi, I'm having trouble logging in to my online account. I'm trying to register, but it's not working. My member ID is MEM000123.",Negative
"Hi, I need to schedule an appointment with a specialist. Can you help me with that?",Neutral
"My date of birth is March 12, 1985, and my phone number is 555-123-4567.",Positive
Will do. Thanks again.,Positive
"(still upset) Fine. Thank you, I guess.",Neutral
My member ID is MEM123456.,Positive
"My date of birth is March 12, 1985, and I'm looking to get a knee replacement surgery.",Positive
"Hi, I'm calling to schedule an appointment with a specialist. My name is Emily Wilson and my member ID is MEM123456.",Neutral
"Well, I've tried to register a few times, but it keeps telling me that my email address is already in use. I'm not sure what to do.",Positive
"Hi, I'm calling to schedule an appointment with a specialist. My name is Emily Wilson and my member ID is MEM123456.",Neutral
"Hi, I'm calling to schedule an appointment with a specialist. My name is Emily Wilson and my member ID is MEM234567.",Neutral
"(pause) Okay, I've tried registering again, and I'm still having trouble. I'm getting a different error message now.",Neutral
"Okay, I think I'd like to schedule with Dr. Smith for Wednesday at 2 PM, but can you also put me on the waitlist for Dr. Johnson's 3 PM appointment, just in case?",Neutral
"The date of service was January 10th, and the provider's name is Dr. Smith.",Negative
The date of service was January 10th and it was for a physical therapy session.,Negative
That sounds great. Can you tell me a bit more about Dr. Smith and Dr. Johnson? What are their specialties within dermatology?,Positive
"Okay... (pause) Yeah, that worked! I was able to register successfully.",Neutral
"Alright, thank you for your help.",Positive
"Okay, I'll let my doctor's office know. How long will it take to get a decision on the pre-authorization?",Neutral
"(pause) Okay, I've tried it on Firefox, and it's still not working.",Neutral
"It's March 12, 1985.",Positive
"No, that's all. Thank you again for your help.",Negative
Thank you. Bye.,Positive
"My email address is john.doe@example.com and my date of birth is March 12, 1980.",Positive
It's 02/12/1990.,Negative
"That's what I thought. So, what can be done to fix this?",Neutral
The doctor's name is Dr. Smith and the facility is Mercy Hospital.,Positive
"No, that's all. Thank you again.",Negative
"Okay, I'll have him do that. How long will it take to process the pre-authorization once you receive the report?",Neutral
"Okay, that sounds good. How long will it take to update the policy and reprocess the claim?",Neutral
That makes sense. I did switch policies at the beginning of the year. Can you update my policy information and reprocess my claim?,Neutral
"Sure, thank you.",Positive
"Hi, I'm calling about issues with my online account. I'm having trouble registering and logging in. My member ID is MEM123456.",Negative
"My date of birth is March 12, 1985, and my primary care physician is Dr. Smith.",Positive
"But that's not correct. I specifically made an appointment with Dr. Smith as my primary care physician. And even if it was a specialist visit, my policy says I shouldn't pay more than $30.",Negative
"Yes, of course. I had a minor surgery last month and when I submitted the claim, it was denied saying that the policy doesn't cover this type of service.",Negative
How do I check that?,Negative
"It was on February 10th, and the provider was Dr. Smith.",Negative
"Okay, that sounds good. And just to confirm, I won't have to pay the copay for any future primary care visits, correct?",Neutral
"Sure, I'll hold.",Neutral
"Okay, that sounds good. I appreciate your help with this.",Neutral
Okay...,Neutral
"Hi, I'm calling about my online service account. I'm having trouble registering and logging in. My member ID is MEM123456.",Negative
"Okay, thank you.",Neutral
"My phone number is 555-123-4567 and my address is 123 Main Street, Anytown, USA 12345.",Positive
"Hi, I'm calling about my recent visit to the doctor. I was charged a copay of $50, but I'm sure my policy says it's supposed to be $10.",Negative
Sure. I've been experiencing some issues with heavy bleeding and my doctor thinks it's best to remove my uterus to alleviate the symptoms.,Neutral
My member ID is MEM456123 and the visit was on February 10th.,Positive
"My date of birth is March 12, 1985, and I'm looking to see an orthopedic specialist.",Positive
"That's strange, I signed up a few days ago. Is there anything I can do to speed up the process?",Neutral
"Okay... (pause) Yeah, I'm still getting the same error message.",Neutral
Okay.,Neutral
"My policy number is PA1234567, and my primary care physician is Dr. Johnson.",Positive
"Okay, that makes sense. How long will it take to update the information and reprocess the claim?",Neutral
"Alright, thank you for explaining and for your help.",Positive
I need to see a cardiologist. I've been experiencing some chest pains and my primary care physician recommended I see a specialist.,Neutral
"Okay, I've done that. What's the next step?",Neutral
"Okay, how long will that take?",Neutral
"I'm not getting any error message. When I try to register, it just keeps saying that my account is already created, but when I try to log in, it says that my username or password is incorrect.",Negative
"Yeah, it's #CLM789012. I'm really surprised it was denied because I know my new policy covers this service.",Negative
"Okay, thank you.",Neutral
It just says that my username and password are incorrect. But I'm sure I'm entering them correctly.,Neutral
(sighs) Okay...,Neutral
"Hi, I'd like to schedule an appointment with a specialist. My member ID is MEM123456.",Neutral
"It's March 12, 1985.",Positive
"Hi, I'm calling about my recent visit to the doctor's office. I was charged a copay of $50, but I thought my policy only had a $20 copay for that service.",Negative
"Okay, got it. ISS001234. Thank you for your help.",Neutral
"Great, thanks for that.",Positive
"It's #2023-01-001. I received a denial letter stating that the service is not covered under my policy, but I had actually switched to a new policy that covers this service.",Negative
(angrily) Fine. Just fix it.,Positive
"No, that's all. Thank you so much for your help!",Positive
(hangs up),Negative
"Okay... (pause) Yes, that seems to have worked! I'm able to log in now.",Neutral
"Yes, I received it. Thank you for checking in.",Positive
"My date of birth is March 12, 1985, and my primary care physician is Dr. Smith.",Positive
(hangs up),Negative
"Hi, I'm calling to schedule an appointment with a specialist. My name is Emily Wilson, and my member ID is MEM234567.",Neutral
Sure.,Positive
Alright... Thank you for your help. I appreciate it.,Positive
"Hi, I'm calling about issues I'm having with my online service account. I'm trying to register and log in, but I'm running into some problems. My member ID is MEM456789.",Neutral
"Oh, great! Thank you so much for looking into that for me.",Positive
That sounds good. What time was the appointment again?,Neutral
"Yes, of course. The claim was for a dental procedure that I had last month. I had switched to a new policy in January, and according to the policy documents, this type of procedure should be covered.",Neutral
"I switched policies on January 1st. I was told that the new policy would cover the service I received, but the denial letter says it's not covered.",Negative
"Yes, the service was on January 10th, and the denial reason is ""policy does not cover the service"". But like I said, I've switched to a new policy that started on January 1st, and I'm sure this service is covered under the new policy.",Negative
"Okay, I'll call the automated system and see what it says. If it's locked out, I'll call back during business hours to get it unlocked.",Neutral
"It's March 12, 1985.",Positive
"No, that's all. Thank you for your help!",Negative
Sounds good. Thank you again for all your help.,Positive
"You too, bye.",Positive
"(pauses) Yeah, I'm still holding.",Positive
"No, that's all. Thank you again.",Negative
"No, that's all. Thank you again for your help.",Negative
"Okay, let me try that. (pause) Okay, I've cleared my cache and cookies. But I'm still getting the same error message when I try to register.",Neutral
"No, I think that's all. Thanks again for your help.",Negative
"Okay... (pause) Yeah, I'm still getting the same error message.",Neutral
"Okay, I'll hold.",Neutral
"I'm pretty flexible, but I was thinking maybe Wednesday or Thursday of this week?",Neutral
"Hi, I'm calling to schedule an appointment with a specialist. My name is Emily Wilson, and my member ID is MEM123456.",Neutral
Whatever.,Neutral
"Sure, thank you.",Positive
"Hi, I'm calling to get a case pre-authorized. My name is Emily Wilson and my member ID is MEM123456.",Negative
"No, that's all. Thank you again.",Negative
"Yes, I have access to my email.",Positive
"That sounds right. So, will I need to pay the deductible upfront?",Neutral
"Hi, I'm calling about a denied claim I received for a recent medical service. My name is Emily Wilson and my member ID is MEM123456.",Negative
"Sure, that's fine.",Neutral
"I'm scheduled to undergo an MRI scan for a knee injury. My doctor's office has already submitted the request, but I wanted to confirm the status and ensure that it's covered under my plan.",Neutral
"Sure, thank you.",Positive
"Okay, I'm on the page now.",Neutral
"No, that's all. Thank you for your help.",Negative
(provides account information),Positive
"You too, bye.",Positive
"Hi, I'm calling to get a case pre-authorized for a medical procedure. My name is Emily Wilson, and my member ID is MEM456789.",Negative
"Hi, I'm calling to get a case pre-authorized. My name is Emily Wilson and my member ID is MEM123456.",Negative
That sounds great. I think I'd like to schedule with Dr. Smith next Wednesday at 10 am. Can you please confirm the appointment details?,Positive
It's johndoe@example.com.,Neutral
"Okay, that sounds good. When can I expect to hear back from you?",Neutral
"Hi, I'm calling to request a case pre-authorization for a procedure I need to undergo. My name is Emily Wilson, and my member ID is MEM123456.",Negative
"Oh, I see. So, it's just a mistake on your end?",Negative
"Okay, that sounds good. I just want to make sure I'm not being overcharged.",Neutral
Sure.,Positive
"(pause) Okay, that seems to be working now. Thank you for your help!",Neutral
"You too, thank you!",Positive
(frustrated) That's ridiculous. I switched policies over two months ago. How long does it take to update the system?,Negative
"Hi, I'm calling about my recent copay for a doctor's visit. I was charged $50, but my policy says I shouldn't be paying more than $20 for a primary care visit.",Negative
"When I try to register, it says my email address is already in use. But I've never registered before, and I'm sure I'm using the correct email address.",Neutral
"It's March 12, 1985.",Positive
"Sure, no problem.",Positive
"My date of birth is March 12, 1985, and I'm scheduled to have a knee replacement surgery on April 15th.",Neutral
"Hi, I'm having trouble logging in to my online service account. My member ID is MEM123456.",Negative
"It's jsmith@email.com. But I've already tried using the ""forgot password"" option and it's not sending me a reset link.",Negative
I'm available anytime after 2 PM.,Negative
"No, that's all. Thank you again!",Negative
"No, that's all. Thank you again.",Negative
"You too, bye.",Positive
"My name is Emily Wilson and my date of birth is March 12, 1985.",Positive
"Great, just great. Thanks for nothing.",Positive
"I'm not getting any error message. It just says ""processing"" and then nothing happens. I've tried multiple times, but I haven't been able to get past that point.",Negative
"Yeah, when I try to log in, it says my username and password are incorrect. But I'm sure I'm entering the right information.",Negative
It's #claim20230101.,Negative
"I'm available anytime next week, preferably in the mornings.",Neutral
"Hi, I'm having trouble registering and logging in to my online service account. My member ID is MEM456789.",Negative
"Yes, my member ID is MEM123456 and the service was on February 10th.",Negative
"Yes, that's correct.",Neutral
"Hi, I'm calling to schedule an appointment with a specialist. My name is Emily Wilson and my member ID is MEM654321.",Negative
"Okay, that sounds good. How long will that take?",Neutral
That sounds good. Can you tell me a bit more about Dr. Smith's qualifications?,Positive
"Hi, I'm calling about a denied claim I received for a recent medical service. My member ID is MEM123456.",Negative
Bye.,Positive
"No, that's all. Thank you again.",Negative
"No, that's all. Thank you again.",Negative
"Hi, I'm calling to get a case pre-authorized. My name is Emily Wilson and my member ID is MEM123456.",Negative
"Sure, thank you.",Positive
"Yeah, that's fine. Thank you for your help so far.",Positive
You too. Bye.,Positive
"Okay, let me try that. (pause) Okay, I've tried logging in with Mozilla Firefox, but I'm still having the same issue.",Neutral
"Great, thank you again for your help!",Positive
"Hi, I'm back on the line. I just wanted to confirm that you've processed my pre-authorization request.",Negative
"No, that's all. Thank you again.",Negative
I think I'd like to schedule with Dr. Johnson on Thursday at 10 AM.,Neutral
"You too, thank you!",Positive
What kind of information do you need?,Neutral
"That sounds great, thank you! I think I'd prefer Dr. Smith on Wednesday. What time is the appointment?",Positive
"No, that's all. Thank you again.",Negative
"That's what I thought. I've been with this insurance company for years, and I've never had to pay for a check-up before.",Positive
"Okay, that sounds good. How long will it take to get this updated?",Neutral
That's not good enough. I want this resolved now. Can you just waive the extra $30?,Negative
"(pauses) Okay, I'm logged in now. But this is really frustrating. I shouldn't have had to call technical support just to log in to my account.",Negative
I was thinking sometime next week. Do you have any availability on Wednesday or Thursday?,Negative
Will do. Thanks again for your assistance.,Positive
"That's great, thank you. How long will it take to receive the reimbursement?",Positive
The procedure code is 23456 and the estimated date of the surgery is March 25th. My doctor's office said that I need to get pre-authorization before the surgery can be scheduled.,Negative
"Yes, I received it. Thank you for checking in.",Positive
"Alright, that sounds good. Thank you for your help.",Positive
"Okay... (pause) Nope, still not working.",Neutral
I'm scheduled to have a knee arthroscopy next week and I want to make sure it's covered.,Neutral
My doctor's name is Dr. Smith and the surgery is scheduled for April 15th.,Negative
"Alright, I've reset my password. Let me try logging in again.",Neutral
"It's March 12, 1985.",Positive
My doctor's name is Dr. Smith and the hospital is Mercy General Hospital.,Positive
"Hmm, I'm not sure. Can you tell me a bit more about Dr. Smith?",Neutral
"You too, thank you again. Bye.",Positive
"Okay, thank you for trying to help me.",Neutral
"It's scheduled for next Wednesday, the 15th.",Neutral
"Okay, done.",Neutral
I'm available anytime after 2 PM.,Negative
What kind of additional information?,Neutral
"Okay, thank you.",Neutral
That sounds great. Can you tell me a bit more about Dr. Smith and Dr. Johnson? What are their specialties?,Positive
"Will do, thank you.",Positive
"Oh, that makes sense. Thank you so much for looking into this!",Positive
"My address is 123 Main St, Anytown, USA 12345.",Positive
"Great, thank you so much! I appreciate your help.",Positive
"Okay, that sounds about right. Can you please go ahead and pre-authorize the case for me?",Neutral
(angrily) A miscommunication? That's not my problem. I need this resolved now.,Negative
"I need to see a cardiologist. I'm available anytime next week, but preferably on Wednesday or Thursday.",Neutral
Thanks again.,Positive
"Yes, of course. I had a minor surgery last month and when I submitted the claim, it was denied saying that the policy doesn't cover this type of service.",Negative
I'm looking to see a cardiologist. I've been experiencing some chest pain and I want to get it checked out.,Neutral
Goodbye.,Positive
"My date of birth is March 12, 1985, and I'm looking to see an orthopedic specialist.",Positive
"I need to get an MRI done for a knee injury. My doctor's name is Dr. Smith, and he's affiliated with General Hospital.",Positive
"You too, bye!",Positive
Thanks again for your help!,Positive
You too.,Positive
"I need to get an MRI done for a knee injury. My doctor's name is Dr. Smith, and he's affiliated with General Hospital.",Positive
"My doctor's name is Dr. Smith, and the procedure code is XYZ123.",Positive
"Sure, no problem.",Positive
"Okay, that sounds good. How long will it take to resolve this?",Neutral
"Alright, thank you very much for your help. I appreciate it.",Positive
"Okay, thank you. I appreciate your help.",Neutral
It's #claim20230101.,Negative
"Hello, I'm having trouble logging in to my online service account. I'm getting an error message that says my username and password are incorrect. My member ID is MEM123456.",Negative
"Yeah, my policy number is MEM123456, and the date of service was January 10th.",Negative
"Hi, I'm trying to register and log in to my online service account, but I'm having some issues. My member ID is MEM123456.",Neutral
"The new policy effective date is March 1st, and the physical therapy sessions took place in April.",Positive
"Okay, got it. And what's the next step in the process?",Neutral
"No, that's all. Thank you for your help!",Negative
