Customer Statement,Sentiment_actual
"Hi, I'm having trouble registering and logging in to my online service account. Can you help me?",Negative
"I'm not getting any error messages, but when I try to log in, it just says ""invalid credentials"" and won't let me in. I've tried resetting my password, but that doesn't work either.",Negative
"Okay, I'll try that. (pause) Okay, I've cleared my cache and cookies. Still not working.",Neutral
"My email address is jsmith@example.com and my password is... (pauses, hesitant to share password) ...well, I'd rather not share it over the phone.",Negative
"Ah, okay. My security question is ""What is my favorite hobby?"" and my answer is ""reading"".",Neutral
"Great, thank you! I'll go check my email.",Positive
"(pause) Yes, that worked! I'm in.",Positive
"No, that's all. Thank you for your help!",Negative
"You too, thank you!",Positive
Bye!,Positive
"Hi, I'm calling about my recent doctor's visit. I was charged a copay of $50, but I'm sure my policy says it's supposed to be $20 or maybe even no copay at all.",Negative
It's MEM123456.,Neutral
"The visit was on January 10th, and the doctor's name is Dr. Smith.",Negative
"Okay, I'll hold.",Neutral
"That's what I thought. So, what happens next?",Neutral
"That sounds great, thank you. How will I know if everything is taken care of?",Positive
"No, that's all. Thank you for your help.",Negative
"No, that's all. Thank you for your help.",Negative
"You too, thank you.",Positive
"Hi, I'm having trouble logging in to my online service account. I'm trying to register, but it's not working. My member ID is MEM123456.",Negative
"I'm not getting an error message. It just keeps taking me back to the login page. I've tried using my username and password, but it's not recognizing them.",Negative
"Okay, I've done that. But I'm still having the same issue.",Neutral
I'm using Google Chrome.,Positive
"Okay, let me try that. (pause) Okay, I've tried it in Firefox, but I'm still having the same issue.",Neutral
I've never actually logged in successfully. This is my first time trying to register.,Negative
"Okay, I'll hold.",Neutral
"Okay, thank you. But can I ask, what's causing the issue with my registration?",Neutral
"Okay, thank you for your help. I appreciate it.",Neutral
"No, that's all. Thank you again.",Negative
"Hi, I'm calling to request a case pre-authorization for a procedure I need to undergo. My name is Emily Wilson, and my member ID is MEM123456.",Negative
"My date of birth is March 12, 1985, and my primary care physician is Dr. Rachel Kim.",Positive
"The CPT code is 76700, and the procedure is scheduled for April 15th.",Negative
"Sure, thank you.",Positive
"Let me check... (pause) Yes, my current deductible balance is $500.",Negative
"That sounds great, thank you so much for your help!",Positive
"No, that's all. Thank you again for your help.",Negative
"Thank you, bye.",Positive
"No, that's all. Thank you again for your help.",Negative
"Thank you, bye.",Positive
"Hi, I'm calling about a concern I have with my recent medical bill. My name is Emily Wilson and my member ID is MEM123456. I was charged a $50 copay for a doctor's visit, but I thought my policy covered that service with a $20 copay. Can you help me figure out what happened?",Negative
"My date of birth is March 12, 1985, and the doctor's visit was on January 25th of this year.",Positive
"Oh, that's great! Thank you so much for looking into this. Can you tell me how much I'll be refunded?",Positive
That sounds wonderful. Thank you for your help in resolving this issue. I really appreciate it!,Positive
"You too, thank you again!",Positive
"Ah, great! Thank you for letting me know. I'll keep an eye out for that email.",Positive
"No, that's all. Thank you again for your help.",Negative
"Hello, I'm calling to get a case pre-authorized. My name is Emily Wilson and my member ID is MEM123456.",Negative
My date of birth is 02/12/1990 and my phone number is 555-123-4567.,Positive
"I need to get an MRI done for my knee injury. My doctor's office is going to send over the request, but I wanted to call ahead to get it pre-authorized.",Negative
My doctor's name is Dr. Smith and the facility is Springdale Imaging Center.,Positive
"Okay, that sounds good. I just want to make sure everything is taken care of before I go in for the procedure.",Neutral
"Okay, what kind of information do they need to provide?",Neutral
"Okay, I'll let them know. How long will it take to get a decision once you receive the information?",Neutral
"Okay, that sounds good. Is there anything else I need to do in the meantime?",Neutral
"Okay, sounds good. Thank you for your help.",Neutral
"Hi, I'm calling about my recent doctor's visit. I was charged a copay of $50, but I thought my policy only required a $20 copay for that service.",Negative
"Yes, my member ID is MEM123456 and the service was on February 10th.",Negative
"But that's not what my policy says. I have a copy of my policy right here, and it says that I only have to pay $20 for that service.",Negative
"Okay, I can do that. But can you also check if there's any errors on your end? Maybe something got misprocessed.",Neutral
"Alright, I'll send them over. But can you at least give me an estimate of how long it'll take to resolve this issue?",Neutral
Okay...I just want to get this resolved as soon as possible.,Neutral
"No, that's all for now. Thank you.",Positive
"Hi, I'm calling to get a case pre-authorized for a medical procedure. My name is Emily Wilson and my member ID is MEM123456.",Negative
"My date of birth is March 12, 1985, and I'm looking to get a knee replacement surgery.",Positive
My doctor's name is Dr. Smith and the procedure will be performed at Mercy Hospital.,Positive
"Sure, thank you.",Positive
"Okay, that's fine. Thank you.",Neutral
"Great, thank you so much! What's the pre-authorization number?",Positive
"Okay, great. Thank you so much for your help. I really appreciate it.",Positive
"Thank you, you too! Bye!",Positive
"Hi, I'm having some trouble registering and logging in to my online service account. My member ID is MEM123456.",Negative
"When I try to register, it says my email address is already in use. But I've never registered before, and I'm sure I'm using the correct email address.",Neutral
"Okay... (pause) Yeah, I'm getting the same error message. My email address is johndoe@example.com.",Neutral
"Okay... (pause) Yeah, I'm still getting the same error message.",Neutral
"Okay... (pause) Yeah, I'm still getting the same error message.",Neutral
"Okay... (pause) Yeah, that worked! I was able to register successfully.",Neutral
"Yeah, I'm logged in now. Thank you so much for your help!",Positive
"No, that's all. Thank you again for your help.",Negative
"Hi, I'm having trouble registering and logging in to my online service account. My member ID is MEM123456.",Negative
"It just says ""invalid username or password"" but I'm sure I'm entering the correct information.",Neutral
"I've already tried that. I received the password reset email, but when I try to log in with the new password, I still get the same error message.",Negative
It's johndoe@email.com.,Positive
I didn't receive a confirmation email. Can you resend it?,Negative
"Ah, I found it. I'll activate my account now.",Negative
"Okay, I'll try that. Thank you for your help.",Neutral
"You too, thank you.",Positive
"No, that's all. Thank you.",Negative
Goodbye.,Positive
"Hi, I'm calling about my recent medical bill. I was charged a $50 copay for my doctor's visit, but I'm certain my policy says I shouldn't have to pay anything.",Negative
"My name is Emily Wilson, and my date of birth is March 12, 1985.",Positive
It was a routine check-up with my primary care physician on January 10th.,Negative
"That's what I thought. I've been with this insurance company for years, and I've never had to pay for a check-up before.",Positive
"So, does that mean I'll get a refund for the $50 I paid?",Negative
"Okay, that sounds good. Thank you for fixing this mistake.",Neutral
"No, that's all. Thank you.",Negative
You too. Bye.,Positive
"Hi, I'm calling to get a case pre-authorized. My name is Emily Wilson and my member ID is MEM123456.",Negative
"It's March 12, 1985.",Positive
I'm scheduled to have a knee arthroscopy next week and I want to make sure it's covered.,Neutral
My doctor's name is Dr. Smith and the facility is Springdale Hospital.,Positive
"Sure, no problem.",Positive
"Okay, that's fine. How much is the deductible?",Neutral
"That sounds good. So, is the case pre-authorized?",Neutral
"Great, thank you so much for your help. I really appreciate it.",Positive
"No, that's all. Thank you again.",Negative
"You too, thank you. Bye.",Positive
"No, I think that's all. Thank you again for your help.",Negative
"You too, thanks. Bye.",Positive
"Okay, got it. PA123456. Thanks for letting me know.",Neutral
"Will do, thanks. Bye.",Positive
"No, I think that's all. Thanks again for your help.",Negative
"You too, thanks. Bye.",Positive
"Hi, I'm calling about my recent visit to the doctor's office. I was charged a copay of $50, but I'm certain my policy says I shouldn't have to pay anything for that service.",Negative
"My name is Emily Wilson, and my date of birth is March 12, 1985.",Positive
"It was on February 10th, and I had a routine check-up.",Negative
That's what I thought. But I was charged $50. Can you help me get that corrected?,Negative
"Okay, that sounds great. How long will it take to process?",Neutral
"Alright, that sounds good. Can you also confirm that my policy does indeed cover that service with no copay or a lower copay?",Neutral
"Okay, thank you for clarifying that. And can you also provide me with a reference number for this issue?",Neutral
"Alright, thank you so much for your help. I appreciate it.",Positive
"No, that's all. Thank you again.",Negative
"Hi, I'm calling to get a case pre-authorized for a surgery I need to have done. My name is Emily Wilson and my member ID is MEM456789.",Negative
"My date of birth is March 12, 1985, and my primary care physician is Dr. Smith.",Positive
The procedure code is 23456 and the estimated date of the surgery is March 25th. My doctor's office said that I need to get pre-authorization before the surgery can be scheduled.,Negative
"Sure, I'll hold.",Neutral
"Okay, that sounds good. How long will it take to get a decision on the pre-authorization?",Neutral
"Okay, that sounds good. What is the case number so I can reference it if I need to call back?",Neutral
"Okay, great. Thank you for your help.",Positive
"Hi, I'm calling about my online service account. I'm having some trouble registering and logging in. My member ID is MEM123456.",Neutral
"Well, I've tried to register multiple times, but it keeps saying that my information is incorrect. I've double-checked my email and password, but it just won't work.",Negative
"Okay... (pause) Yeah, same thing. It says ""invalid email or password"".",Neutral
"My email is jsmith@email.com and my password is... (pauses, then whispers) ...my password is "" password123"".",Negative
"Okay... (pause) Yeah, that worked! I'm in. Thank you so much!",Neutral
"No, that's all. Thanks again for your help!",Positive
"Hi, I'm calling about a claim that was denied. My name is Emily Wilson and my member ID is MEM123456.",Negative
"Yes. It was for a service I received last month. The denial letter said it's not covered under my policy, but I had actually switched to a new policy that does cover this service.",Negative
(sighs) Okay...,Neutral
(frustrated) That's ridiculous. I switched policies over two months ago. How long does it take to update the system?,Negative
"(angrily) Well, what about my claim? Can you just approve it in the meantime?",Negative
(sighs) Fine.,Positive
(skeptical) Okay... And how long is this going to take?,Neutral
"(unconvinced) Alright... Thank you, I guess.",Neutral
(hangs up),Negative
"Hi, I'm having some trouble registering and logging in to my online service account. My member ID is MEM123456.",Negative
"I'm not getting an error message, but when I try to enter my username and password, it just doesn't recognize them. I've tried resetting my password, but that didn't work either.",Negative
My email address is jsmith@email.com.,Positive
"Sure, no problem.",Positive
"Oh, that makes sense. I did try logging in a few times before I called.",Neutral
Sounds good.,Positive
"Okay, I've got the email. Let me just click on the link... (pause) Okay, I've reset my password.",Neutral
"(pause) Yes, I'm in! Thank you so much for your help!",Positive
"No, that's all. Thanks again for your help!",Positive
"Hi, I'm having trouble registering and logging in to my online service account. My member ID is MEM123456.",Negative
"I'm not getting any error message, but when I try to register, it says my account already exists, and when I try to log in, it says my credentials are incorrect.",Negative
"Okay, let me try that. (pause) I've cleared my browser's cache and cookies, but I'm still having the same issue.",Neutral
It's johndoe@email.com.,Positive
"(pause) Yes, that worked! I'm logged in now. Thank you so much for your help!",Positive
"Hi, I'm calling about a denied claim I received for a service I had done last month. My name is Emily Wilson, and my member ID is MEM123456.",Negative
"It's CLM789012. I'm a bit confused because I had switched my policy last quarter, and as per my new policy, this service should be covered.",Neutral
"That makes sense, I guess. But how long will it take to get this updated and the claim approved?",Neutral
"That sounds great, thank you so much for your help. I really appreciate it.",Positive
Sure thing.,Positive
Sounds good. Thank you again for all your help.,Positive
"Hi, I need to schedule an appointment with a specialist. Can you help me with that?",Neutral
It's MEM123456.,Neutral
I need to see a cardiologist.,Neutral
How about next Wednesday or Thursday?,Negative
That sounds great. Can you tell me a little bit about Dr. Smith?,Positive
That sounds perfect. Can you schedule the appointment for next Wednesday at 2 PM with Dr. Smith?,Positive
"No, that's all. Thank you so much for your help!",Positive
"Hi, I'm calling to get a case pre-authorized for a medical procedure. My name is Emily Wilson and my member ID is MEM123456.",Negative
"My date of birth is June 12, 1985, and my primary care physician is Dr. Smith.",Positive
I'm scheduled to have a knee replacement surgery on March 15th. My doctor says I need to get pre-authorization before the procedure.,Neutral
"Sure, no problem.",Positive
The procedure will be performed at Mercy Hospital and the surgeon's name is Dr. Johnson.,Positive
"Okay, that's fine. How long will it take to get a decision?",Neutral
"Okay, that sounds good. Thank you for your help.",Neutral
"No, that's all. Thank you again.",Negative
You too. Bye.,Positive
"Hi, I'm having trouble registering and logging in to my online service account. My member ID is MEM123456. Can you help me?",Negative
"Well, when I try to register, it says my email address is already in use, but I've never registered before. And when I try to log in, it says my password is incorrect, but I'm sure I'm entering the right one.",Neutral
"Okay, let me try that. (pause) I've cleared my cache and cookies, but I'm still getting the same error messages.",Neutral
"My email address is jsmith@email.com, and my date of birth is January 12, 1990.",Positive
"(pause) Yes, I'm still holding.",Positive
"Okay, how long will that take?",Neutral
"Okay, thank you. I appreciate your help.",Neutral
"No, that's all for now. Thank you again.",Positive
You too. Bye.,Positive
"Hi, I'm calling to schedule an appointment with a specialist. My name is Emily Wilson, and my member ID is MEM234567.",Neutral
"I need to see a cardiologist, and I was thinking maybe next Wednesday or Thursday?",Negative
"Yeah, either one is fine. But I was really hoping to get in sooner. Can't you check if there are any earlier appointments available?",Neutral
But I specifically asked for Dr. Smith. Why can't I get an appointment with him sooner?,Neutral
"This is ridiculous. I've been waiting for weeks to get in to see a specialist, and now you're telling me I have to wait even longer? Can I speak to your supervisor?",Negative
"Yes, please do that.",Neutral
"Unbelievable. Fine, take my number. But this is not resolved.",Negative
"Yes, that's correct.",Neutral
"No, that's all.",Negative
"Hi, I'm calling about my recent visit to the doctor's office. I was charged a copay of $50, but I thought my policy only had a $20 copay for that service.",Negative
It's MEM123456.,Neutral
"It was on February 10th, and it was a routine check-up.",Negative
That's what I thought. Can you explain why I was charged more?,Negative
"Okay, that sounds great. How long will it take to receive the refund?",Neutral
"Alright, thank you for your help.",Positive
"No, that's all. Thank you again.",Negative
"Hi, I'm calling about a denied claim I received. My name is Emily Wilson, and my member ID is MEM123456.",Negative
"Yes, of course. The date of service was January 10th, and the reason for the denial was that my policy doesn't cover the service. However, I had switched to a new policy in December, and according to the new policy, the service should be covered.",Neutral
"Okay, thank you.",Neutral
That makes sense. What can be done to resolve this issue?,Neutral
"Okay, that sounds great. How long will that take?",Neutral
"Okay, thank you.",Neutral
"Great, thank you so much for your help. I appreciate it.",Positive
"No, that's all. Thank you again.",Negative
"Hi, I'm trying to register and log in to my online service account, but I'm having some issues. My member ID is MEM123456.",Neutral
"When I try to log in, it says my username and password are incorrect. I've tried resetting my password, but it doesn't seem to work.",Negative
"Okay, I've tried that, but it's still not working.",Neutral
It's jsmith@email.com.,Positive
"Okay, I'm holding.",Neutral
"Okay, I'll try again.",Neutral
"Okay, I've tried logging in again, and it looks like it's working now.",Neutral
"No, that's all. Thank you for your help!",Negative
"Hi, I'm calling about my recent copay charge. I was charged $50 for a doctor's visit, but I'm pretty sure I shouldn't have been charged that much.",Neutral
It's MEM123456.,Neutral
My name is Emily Wilson.,Positive
"Yes. I went to see my primary care physician last week, and when I got the bill, I saw that I was charged $50 as a copay. But I've checked my policy, and it says that I shouldn't have to pay anything for primary care visits.",Negative
That's what I thought. So why did I get charged $50?,Negative
"Okay, that sounds good. How long will that take?",Neutral
"That would be great, thank you.",Neutral
"Yes, that's correct.",Neutral
"No, that's all. Thank you for your help.",Negative
Thank you.,Positive
You too. Bye.,Positive
"Hi, I'm calling to request a pre-authorization for a medical procedure. My name is Emily Wilson and my member ID is MEM123456.",Negative
"My date of birth is March 12, 1985, and I'm scheduled to have a knee replacement surgery on April 15th.",Neutral
"Sure, go ahead.",Positive
"My doctor says I need to have the surgery to alleviate the pain and discomfort I've been experiencing in my knee. I've tried physical therapy and other treatments, but nothing seems to be working.",Negative
Okay.,Neutral
"That's great news, thank you so much for your help!",Positive
"No, that's all. Thank you again for your help.",Negative
"You too, bye.",Positive
"Hi, I'm calling to get a case pre-authorized for a medical procedure. My name is Emily Wilson, and my member ID is MEM123456.",Negative
"It's August 12, 1990.",Negative
"The procedure code is 23456, and the date of service is scheduled for March 15th.",Negative
"It's Dr. Smith's office, and the facility is Mercy Hospital.",Positive
"Sure, thank you.",Positive
"Okay, that's fine. Can you tell me what the deductible amount is?",Neutral
"Okay, got it. And what's the next step in the process?",Neutral
"Great, thank you so much for your help.",Positive
"No, that's all. Thank you again.",Negative
You too.,Positive
"Yes, that would be great. My phone number is 555-123-4567.",Neutral
That's correct. Thank you again for your help.,Neutral
You too.,Positive
Sounds good. Thanks again.,Positive
Goodbye.,Positive
"Hi, I need to schedule an appointment with a specialist. My name is Emily Wilson and my member ID is MEM123456.",Neutral
"I need to see a cardiologist. I'm available anytime next week, but preferably on Wednesday or Thursday.",Neutral
I don't know...I've never seen either of them before. Can you tell me more about them?,Neutral
"(sighs) Fine, I'll take Dr. Smith on Wednesday at 2 PM. But can you make sure that he knows I'm coming in for a follow-up appointment for my high blood pressure?",Neutral
"(frustrated) Wait, why did it take so long to schedule an appointment? I've been on hold for over 5 minutes already!",Negative
(sighs) Just make sure the appointment is scheduled correctly.,Neutral
"No, that's all.",Negative
"Hi, I'm calling to get a case pre-authorized for a surgery I'm scheduled to have next week. My name is Emily Wilson, and my member ID is MEM123456.",Negative
"My date of birth is March 12, 1985, and my primary care physician is Dr. Smith.",Positive
"The procedure code is XYZ123, and the surgeon is Dr. Johnson.",Positive
"Yes, I was aware of that.",Neutral
"No, that's all. Thank you for your help.",Negative
"No, that's all. Thank you.",Negative
Thank you. You too.,Positive
Goodbye.,Positive
"Hi, I'm having some trouble registering and logging in to my online service account. My member ID is MEM123456. I've tried a few times, but I keep getting an error message. Can you help me out?",Negative
"It just says ""invalid credentials"" or ""account not found."" I'm pretty sure I'm entering the right information, but I've tried a few different variations just in case.",Negative
"Okay, I just tried that, and I'm still getting the same error message.",Neutral
"I did try resetting my password earlier, but I'm not sure if I did it correctly. Can you walk me through it again?",Neutral
"Okay, I think I did that correctly this time. But now I'm getting a different error message. It says ""account locked due to excessive login attempts.""",Neutral
"My name is Emily Wilson, and my date of birth is March 12, 1985.",Positive
"Yes, that works! Thank you so much for your help. I really appreciate it.",Positive
"Hi, I'm calling to request a pre-authorization for a medical procedure. My name is Emily Wilson and my member ID is MEM123456.",Negative
"It's March 12, 1985.",Positive
"Yes, I need to have a knee replacement surgery. My doctor has recommended it due to severe arthritis.",Neutral
My doctor's name is Dr. Smith and the procedure will be done at Mercy Hospital.,Positive
"Sure, no problem.",Positive
"It's 123 Main Street, Anytown, PA 12345.",Neutral
"Great, thank you! What's the next step?",Positive
"Okay, sounds good. Thank you for your help!",Neutral
"No, that's all. Thank you again!",Negative
"Hi, I'm calling to request a pre-authorization for an upcoming medical procedure. My name is Emily Wilson, and my member ID is MEM123456.",Negative
"My date of birth is March 12, 1985, and I'm scheduled for a knee replacement surgery on April 15th.",Neutral
"My doctor's name is Dr. Smith, and the surgery will be performed at Oakwood Hospital.",Positive
"Sure, thank you.",Positive
"My policy number is PA1234567, and my primary care physician is Dr. Johnson.",Positive
"That's great, thank you so much for your help! Can you please provide me with a reference number for the pre-authorization?",Positive
"Will do, thank you again for your assistance. Is there anything else I need to do on my end?",Positive
"You too, thank you again. Bye.",Positive
"Hi, I'm calling to schedule an appointment with a specialist. My member ID is MEM123456.",Neutral
I've been having some issues with my knee and I'm looking to see an orthopedic specialist.,Neutral
"I was thinking maybe sometime next week? I'm pretty flexible, but I'd prefer a morning appointment if possible.",Neutral
"That sounds great, actually. Can you tell me a bit more about Dr. Smith?",Positive
Sounds good to me. Can you go ahead and schedule the appointment for me?,Positive
"My name is Emily Johnson and my date of birth is March 12th, 1985.",Positive
"Great, thank you so much for your help!",Positive
"No, that's all. Thanks again!",Negative
"Hi, I'm calling about my recent bill for a doctor's visit. I was charged a copay of $50, but I thought it was supposed to be $20 according to my policy.",Negative
It's MEM123456.,Neutral
The visit was on January 10th and the doctor's name is Dr. Smith.,Negative
"That sounds great, thank you! But can you also tell me why this happened in the first place?",Positive
"Okay, that makes sense. So, what's the next step? Will I get a refund for the overpayment?",Neutral
Sounds good. Thank you for your help in resolving this issue.,Positive
"No, that's all. Thank you again.",Negative
"Hi, I'm having trouble registering and logging in to my online service account. My member ID is MEM123456.",Negative
"I'm not getting any error message, but it's just not recognizing my username and password. I've tried multiple times, but it keeps saying my credentials are incorrect.",Negative
"I've already tried that, but it didn't work. I'm still having the same issue.",Negative
My username is jsmith and my password is ********.,Negative
"Okay, let me try... (pause) Yes, I'm in! Thank you so much for your help!",Neutral
Will do. Thanks again for your assistance.,Positive
"Hi, I'm having trouble logging in to my online account. I'm trying to register, but it's not working. My member ID is MEM000123.",Negative
"It just says ""invalid credentials"" when I try to log in. I've tried resetting my password, but it still doesn't work.",Negative
It's johndoe@example.com.,Neutral
"Yeah, I've checked all that. I'm positive I'm using the correct email and password.",Negative
"Okay, done.",Neutral
"Okay, got it. I just got the email.",Neutral
"Alright, I've reset my password. Let me try logging in again.",Neutral
Okay... it's still not working.,Neutral
Sure.,Positive
"Okay, thank you.",Neutral
Yeah... it's working now! Thank you so much for your help!,Positive
Thanks again. Bye!,Positive
"Hi, I'm calling to schedule an appointment with a specialist. My name is Emily Wilson and my member ID is MEM123456.",Neutral
I'm looking to see a dermatologist. I have some skin issues that I'd like to get checked out.,Neutral
I'm available most weekdays after 2 PM. I was thinking maybe next Wednesday or Thursday?,Neutral
"That sounds perfect. Yes, please go ahead and schedule it.",Positive
"Wonderful, thank you so much for your help! I really appreciate it.",Positive
"No, that's all. Thank you again!",Negative
"Hi, I'm so sorry to call back. I just realized I have a conflict on Wednesday. Can I reschedule for Thursday instead?",Negative
"Yes, that would be great. Thank you!",Positive
"Great, thank you so much! I really appreciate your help.",Positive
"Okay, understood. Thank you for letting me know.",Neutral
"Hi, I am calling to schedule an appointment with a specialist. My name is Emily Wilson and my member ID is MEM123456.",Neutral
I'm looking to see a cardiologist. I've been experiencing some chest pain and my primary care physician recommended I see a specialist.,Neutral
I'm available anytime next week. I'm flexible with my schedule.,Positive
"That sounds good, but can I get a little more information about Dr. Lee? What's his specialty and what's his experience with patients with similar conditions to mine?",Neutral
"Okay, that sounds good. But I'd like to do some more research on my own before scheduling the appointment. Can I get back to you?",Neutral
"Great, thank you for your help. I'll be in touch soon.",Positive
"You too, thank you.",Positive
"No, that's all for now. Thank you again.",Positive
"Wait, can you tell me what's the cancellation policy if I need to cancel the appointment?",Negative
"Okay, got it. Thank you.",Neutral
"Hi, I'm calling about a denied claim I received for my recent medical service. I don't understand why it was denied when I've been paying my premiums on time.",Negative
It's #CLM789012. I've already checked my policy and it says that the service is covered.,Neutral
That's not possible. I switched to a new policy a few months ago and the new policy does cover this service. I have the documents right here.,Negative
Unbelievable. How could this happen? I specifically called to confirm the coverage before I switched policies.,Negative
I hope so. This has been a huge hassle and I just want to get this taken care of.,Neutral
(pause) Hello?,Negative
Finally. Thank you. How long will it take to process the payment?,Positive
"Okay, thank you for resolving this issue.",Neutral
"No, that's all. Thank you.",Negative
You too.,Positive
"Hi, I'm calling about my recent doctor's visit. I was charged a $50 copay, but I'm pretty sure my policy says I shouldn't have to pay anything for that service.",Negative
It's MEM123456.,Neutral
It's 02/12/1990.,Negative
"It was on January 10th, and I had a follow-up appointment with my primary care physician.",Negative
"That sounds great, thank you. I appreciate it.",Positive
"That sounds great, thank you so much. How long will it take to get the refund?",Positive
"Okay, that sounds fine. Can you keep me updated on the status?",Neutral
"No, that's all. Thank you so much for your help.",Positive
"You too, thank you.",Positive
"No, that's all. But can you tell me when this issue will be resolved?",Neutral
"Okay, so it's not resolved yet?",Neutral
"Hi, I'm calling to get a case pre-authorized. My name is Emily Wilson and my member ID is MEM123456.",Negative
"My date of birth is March 12, 1985, and I'm looking to get pre-authorization for a knee surgery.",Positive
My doctor's name is Dr. Smith and the surgery is scheduled for April 15th.,Negative
"Sure, thank you.",Positive
"Okay, what kind of information do you need?",Neutral
"Yes, I can do that. How long will it take to process the pre-authorization once you receive the information?",Neutral
"Okay, that sounds good. What's the next step?",Neutral
"Sounds great, thank you so much for your help.",Positive
"No, that's all. Thank you again.",Negative
"You too, bye.",Positive
"Hi, I'm calling to schedule an appointment with a specialist. My name is Emily Wilson and my member ID is MEM123456.",Neutral
I'm looking to see a cardiologist. I've been experiencing some issues with my heart and I need to get it checked out.,Neutral
I'm available any time next week. I'm flexible.,Positive
That sounds great. Can you tell me a little bit more about Dr. Smith?,Positive
That sounds perfect. I'd like to schedule an appointment with Dr. Smith for Monday at 2 PM.,Positive
"No, that's all. Thank you so much for your help! I really appreciate it.",Positive
"You too, thank you!",Positive
Bye!,Positive
"Hi, I'm calling about a denied claim I received for a recent medical service. My name is Emily Wilson and my member ID is MEM123456.",Negative
"Yes, of course. I had a minor surgery last month and when I submitted the claim, it was denied saying that the policy doesn't cover this type of service.",Negative
"My policy number is the same, MEM123456, and the surgery was on January 10th.",Negative
"Sure, thank you.",Positive
That's correct! I upgraded my policy to get more coverage.,Neutral
"Oh, that makes sense. Thank you so much for looking into this!",Positive
"Okay, thank you.",Neutral
That's wonderful news! Thank you so much for your help and for resolving this issue.,Positive
"No, that's all. Thank you again for your help.",Negative
"You too, thank you!",Positive
"Hi, I'm calling about my recent visit to the doctor. I was charged a copay of $50, but I'm certain my policy says I shouldn't have to pay anything for that service.",Negative
It's MEM123456.,Neutral
"It was yesterday, and I had a routine check-up.",Positive
"Sure, thank you.",Positive
"That's great, thank you so much! I appreciate your help.",Positive
"No, that's all. Thank you again for your help.",Negative
You too.,Positive
"No, that's all. Thank you.",Negative
Goodbye.,Positive
"Hi, I'm having trouble registering and logging in to my online service account. My member ID is MEM456789.",Negative
"When I try to register, it says my email is already in use, but I'm sure I've never created an account before. And when I try to log in, it says my password is incorrect.",Negative
"I've already tried that, but it says my email address is not recognized.",Negative
"My email address is johndoe@example.com. And yes, I've tried clearing my browser cache and cookies, but it didn't make a difference.",Negative
"Sure, I'll hold.",Neutral
"Okay, sounds good. How long will it take to hear back from them?",Neutral
"Alright, that sounds good. Thank you for your help so far.",Positive
"No, that's all for now. Thanks again.",Negative
"Hi, I'm calling to schedule an appointment with a specialist. My name is Emily Wilson and my member ID is MEM123456.",Neutral
I'm looking for a dermatologist and I was thinking maybe next Wednesday or Thursday. Do you have any availability?,Negative
I've been having some issues with acne and I just want to get it checked out.,Neutral
"That sounds great, but can I also see the availability for Dr. Johnson? I've heard good things about him too.",Positive
"Hmm, I'm not sure. Can you tell me a little bit more about Dr. Johnson's experience with acne treatment?",Neutral
"Okay, I think I'd like to go with Dr. Smith then. Can you schedule the appointment for me?",Neutral
That sounds good. What time was the appointment again?,Neutral
"Great, thank you so much for your help.",Positive
"Sounds good, thanks again.",Positive
You too.,Positive
"Hi, I'm calling about my recent bill for a doctor's visit. I was charged a $50 copay, but I'm pretty sure my policy says I only have to pay $20 for that service.",Negative
It's MEM123456.,Neutral
"(pause) Yeah, sure.",Positive
"But I'm positive my policy says $20. I've been with this insurance company for years, and I've never paid more than that for a doctor's visit.",Neutral
"I enrolled in 2018, and I have a silver plan.",Positive
(sighs) Fine.,Positive
Finally. It's about time someone listened to me.,Positive
"No, that's it. Thanks for fixing the problem.",Neutral
Yeah.,Negative
(hangs up),Negative
"Hi, I'm calling about a denied claim I received. My name is Emily Wilson, and my member ID is MEM456789. I was expecting coverage for a recent medical service, but the denial letter said it's not covered under my policy.",Negative
"It was on January 10th, and it was for physical therapy. I've had this service covered before, but I recently switched to a new policy. I thought this new policy would cover it.",Neutral
"Okay, that's fine. Thank you.",Neutral
"Oh, that makes sense. So, what can be done to fix this?",Neutral
"That sounds great, thank you so much! I really appreciate your help.",Positive
"No, that's all. Thank you again.",Negative
"You too, bye.",Positive
"Hi, I'm calling about a denied claim I received. My name is Emily Wilson and my member ID is MEM654321.",Negative
"It's #2023-01-001. I received a denial letter stating that the service is not covered under my policy, but I had actually switched to a new policy that covers this service.",Negative
"My new policy effective date is January 1st, and the date of service was January 15th.",Positive
"Okay, that sounds good. How long will it take to get this updated?",Neutral
"Alright, that sounds good. But can you confirm that the service will be covered under my new policy?",Neutral
"Okay, thank you for your help. Can you provide me with a reference number for this issue?",Neutral
"Alright, thank you. I appreciate your help.",Positive
"No, that's all. Thank you.",Negative
"Hi, I'm calling about a denied claim I received. I don't understand why it was denied. My claim number is #MEM123456.",Negative
"My name is John Smith, and my date of birth is January 12, 1990.",Positive
"Yes, that's correct. I switched policies a few months ago. As per my new policy, the services I claimed should be covered.",Neutral
That explains a lot. What can be done to rectify this situation?,Positive
"Okay, that sounds good. How long will this take?",Neutral
"Alright, thank you for explaining and for your help.",Positive
"No, that's all. Thank you.",Negative
"You too, thank you.",Positive
Goodbye.,Positive
"Hi, I'm calling about a claim that was denied. I was told that my policy doesn't cover the service, but I'm pretty sure I switched to a new policy that does cover it. My member ID is MEM654321.",Negative
"Ah, yes. My name is Alex Thompson.",Positive
